,level_0,index,hidden_units,activations,optimizer,learning_rate,loss_fn,beta1,beta2,rho,l_1,l_2,batch_size,mse_train,mae_train,mse_test,mae_test,n_training_steps,model_name,training_time,time_started
0,64,173,"[500, 500]","['relu', 'relu']",momentum,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,1000,3.3881678999999996,0.17785673,2.6698207999999997,0.17882513,400,model_173,24.0,2018-07-10 21:13:55.295800
1,51,143,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,1000,3.4026389999999997,0.18278208,2.6847262,0.18405129,1600,model_143,44.2,2018-07-10 20:20:40.288275
2,56,148,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4049861000000003,0.18290510000000001,2.6866088,0.18416756,1600,model_148,324.0,2018-07-10 20:32:28.175415
3,13,39,"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4039855,0.18306983,2.6856202999999996,0.18430391,1600,model_39,222.9,2018-07-10 18:11:37.572680
4,39,106,"[300, 500]","['relu', 'relu']",sgd,0.005,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4145865,0.18649843,2.695544,0.18787743,1600,model_106,321.2,2018-07-10 19:40:33.071322
5,50,142,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,1000,3.4139156,0.18684562,2.6943536,0.18822394,800,model_142,27.8,2018-07-10 20:19:56.120041
6,12,38,"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4137218000000003,0.18685520000000003,2.6950889,0.18823119,800,model_38,116.6,2018-07-10 18:07:54.642069
7,74,201,"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,1000,3.4138144999999995,0.18698817,2.695567,0.18843193,800,model_201,36.0,2018-07-10 22:02:24.287973
8,55,147,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4167447,0.18769705,2.6978942999999997,0.18915837,800,model_147,167.1,2018-07-10 20:27:04.150006
9,18,52,"[300, 300]","['relu', 'relu']",sgd,0.005,mae,0.9,0.9990000000000001,0.9,0.0,0.0,10000,3.4196410000000004,0.18843049,2.7017944,0.19003846,800,model_52,117.1,2018-07-10 18:24:31.595029
