hidden_units,activations,optimizer,learning_rate,loss_fn,beta1,beta2,rho,l_1,l_2,batch_size,mse_train,mae_train,mse_test,mae_test,n_training_steps,model_name,training_time,time_started
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2630942,0.22442885,2.541788,0.22363402,200,model_0,15.6,2018-07-10 17:32:56.678603
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2054896,0.20552747,2.4875255,0.20382069,400,model_1,16.6,2018-07-10 17:33:13.228955
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.1387753,0.20719,2.4274197,0.20676027,800,model_2,22.3,2018-07-10 17:33:35.544523
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663957,2.7391057,0.20879905,1600,model_3,33.8,2018-07-10 17:34:09.311218
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.247596,0.23278494,2.5272934,0.23149021,200,model_4,37.3,2018-07-10 17:34:46.641648
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.1812105,0.22186114,2.4630117,0.21977276,400,model_5,63.9,2018-07-10 17:35:50.493530
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.110666,0.21425928,2.3981013,0.21313974,800,model_6,116.9,2018-07-10 17:37:47.390093
"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,2.9647465,0.20560707,2.2635186,0.20604576,1600,model_7,222.5,2018-07-10 17:41:29.895638
"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,200,model_8,13.8,2018-07-10 17:41:43.654793
"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,400,model_9,16.5,2018-07-10 17:42:00.144376
"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,200,model_10,37.3,2018-07-10 17:42:37.438390
"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,400,model_11,63.9,2018-07-10 17:43:41.314092
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.297701,0.2397314,2.5779116,0.23956455,200,model_12,13.7,2018-07-10 17:43:55.062876
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2509437,0.21749075,2.529196,0.21615352,400,model_13,16.5,2018-07-10 17:44:11.532461
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.1905928,0.21398915,2.4699552,0.2115903,800,model_14,22.2,2018-07-10 17:44:33.742661
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.1167367,0.21381283,2.394896,0.21142043,1600,model_15,33.6,2018-07-10 17:45:07.321046
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,3.0481675,0.20729303,2.3265588,0.20609717,3200,model_16,56.3,2018-07-10 17:46:03.608256
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,2.8993602,0.19256783,2.240092,0.19464216,6400,model_17,101.9,2018-07-10 17:47:45.494303
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,1000,2.7341797,0.18182454,2.0984657,0.18283647,12800,model_18,192.7,2018-07-10 17:50:58.146305
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.2983098,0.24366233,2.5782197,0.24350269,200,model_19,37.4,2018-07-10 17:51:35.574785
"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,400,model_20,63.9,2018-07-10 17:52:39.491728
"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4190438,0.18895486,2.6999629,0.19035544,200,model_21,13.8,2018-07-10 17:52:53.266568
"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.206639,2.7391057,0.20879872,400,model_22,16.5,2018-07-10 17:53:09.797467
"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,200,model_23,37.4,2018-07-10 17:53:47.165171
"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.206639,2.7391057,0.20879872,400,model_24,64.0,2018-07-10 17:54:51.147477
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20664169,2.7391057,0.20880696,200,model_25,13.5,2018-07-10 17:55:04.652141
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3405278,0.24836263,2.620612,0.24855243,400,model_26,16.3,2018-07-10 17:55:20.951825
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.3031535,0.2377955,2.5830946,0.23728034,800,model_27,21.9,2018-07-10 17:55:42.873333
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2625268,0.23089096,2.542443,0.23012161,1600,model_28,33.4,2018-07-10 17:56:16.315243
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.2045941,0.2230058,2.4852364,0.22117028,3200,model_29,56.1,2018-07-10 17:57:12.376176
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.1266005,0.21818835,2.4110353,0.21634096,6400,model_30,101.6,2018-07-10 17:58:53.973003
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,1000,3.033543,0.20873366,2.3294933,0.20891023,12800,model_31,192.5,2018-07-10 18:02:06.507458
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.3571455,0.2636986,2.6375935,0.26455864,200,model_32,37.2,2018-07-10 18:02:43.699454
"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.2067016,2.7391067,0.2088649,400,model_33,63.7,2018-07-10 18:03:47.362611
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663945,2.7391057,0.20879963,200,model_34,13.5,2018-07-10 18:04:00.887164
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,1000,3.4571772,0.20663933,2.7391057,0.2088004,400,model_35,16.3,2018-07-10 18:04:17.183455
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4571772,0.20663904,2.7391057,0.20879872,200,model_36,37.3,2018-07-10 18:04:54.490313
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.428308,0.19192159,2.710149,0.19367838,400,model_37,63.6,2018-07-10 18:05:58.049600
"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.9,0.999,0.9,0.0,0.0,10000,3.4137218,0.1868552,2.6950889,0.18823119,800,model_38,116.6,2018-07-10 18:07:54.642069
