,hidden_units,activations,optimizer,learning_rate,loss_fn,l_1,l_2,batch_size
0,"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,1000
1,"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,10000
2,"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,1000
3,"[300, 300]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,10000
4,"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,1000
5,"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,10000
6,"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,1000
7,"[300, 300]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,10000
8,"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,1000
9,"[300, 300]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,10000
10,"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,1000
11,"[300, 300]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,10000
12,"[300, 300]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,1000
13,"[300, 300]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,10000
14,"[300, 300]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,1000
15,"[300, 300]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,10000
16,"[300, 500]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,1000
17,"[300, 500]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,10000
18,"[300, 500]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,1000
19,"[300, 500]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,10000
20,"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,1000
21,"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,10000
22,"[300, 500]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,1000
23,"[300, 500]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,10000
24,"[300, 500]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,1000
25,"[300, 500]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,10000
26,"[300, 500]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,1000
27,"[300, 500]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,10000
28,"[300, 500]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,1000
29,"[300, 500]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,10000
30,"[300, 500]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,1000
31,"[300, 500]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,10000
32,"[500, 300]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,1000
33,"[500, 300]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,10000
34,"[500, 300]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,1000
35,"[500, 300]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,10000
36,"[500, 300]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,1000
37,"[500, 300]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,10000
38,"[500, 300]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,1000
39,"[500, 300]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,10000
40,"[500, 300]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,1000
41,"[500, 300]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,10000
42,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,1000
43,"[500, 300]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,10000
44,"[500, 300]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,1000
45,"[500, 300]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,10000
46,"[500, 300]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,1000
47,"[500, 300]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,10000
48,"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,1000
49,"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.0,0.0,10000
50,"[500, 500]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,1000
51,"[500, 500]","['relu', 'relu']",momentum,0.01,mae,0.0,0.0,10000
52,"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,1000
53,"[500, 500]","['relu', 'relu']",momentum,0.005,mse,0.0,0.0,10000
54,"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,1000
55,"[500, 500]","['relu', 'relu']",momentum,0.005,mae,0.0,0.0,10000
56,"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,1000
57,"[500, 500]","['relu', 'relu']",sgd,0.01,mse,0.0,0.0,10000
58,"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,1000
59,"[500, 500]","['relu', 'relu']",sgd,0.01,mae,0.0,0.0,10000
60,"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,1000
61,"[500, 500]","['relu', 'relu']",sgd,0.005,mse,0.0,0.0,10000
62,"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,1000
63,"[500, 500]","['relu', 'relu']",sgd,0.005,mae,0.0,0.0,10000
