,level_0,index,hidden_units,activations,optimizer,learning_rate,loss_fn,beta1,beta2,rho,l_1,l_2,batch_size,mse_train,mae_train,mse_test,mae_test,n_training_steps,model_name,training_time,time_started
0,49,73,"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.6698513,0.17583716,2.0437896,0.17464328,12800,model_73,273.6,2018-07-10 18:54:36.376775
1,14,18,"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.7341797000000003,0.18182454,2.0984657,0.18283647,12800,model_18,192.7,2018-07-10 17:50:58.146305
2,71,111,"[500, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.9080310000000003,0.19647492,2.2115602,0.19659287,3200,model_111,77.3,2018-07-10 19:43:37.930575
3,13,17,"[300, 300]","['relu', 'relu']",momentum,0.005,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.8993602000000003,0.19256783,2.2400919999999998,0.19464216,6400,model_17,101.9,2018-07-10 17:47:45.494303
4,103,166,"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.9356408,0.19937220000000003,2.2413093999999996,0.19832323,3200,model_166,108.9,2018-07-10 20:54:18.045469
5,48,72,"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,2.9110477,0.19527555,2.2423322,0.19657579,6400,model_72,142.3,2018-07-10 18:50:02.743070
6,7,7,"[300, 300]","['relu', 'relu']",momentum,0.01,mse,0.9,0.9990000000000001,0.9,0.0,0.0,10000,2.9647465,0.20560707,2.2635186000000003,0.20604576,1600,model_7,222.5,2018-07-10 17:41:29.895638
7,42,62,"[300, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.9990000000000001,0.9,0.0,0.0,10000,2.9677916,0.20336755,2.2720342000000002,0.20373462,1600,model_62,321.4,2018-07-10 18:41:43.669083
8,108,171,"[500, 500]","['relu', 'relu']",momentum,0.01,mse,0.9,0.9990000000000001,0.9,0.0,0.0,10000,2.9737678,0.20111617,2.2799332000000003,0.20126989999999997,1600,model_171,482.5,2018-07-10 21:13:13.506738
9,47,71,"[300, 500]","['relu', 'relu']",momentum,0.005,mse,0.9,0.9990000000000001,0.9,0.0,0.0,1000,3.0257167999999997,0.20644629,2.309205,0.20540652,3200,model_71,76.9,2018-07-10 18:47:40.414826
